fecha,game_id,liga,local,visita,goles_local,goles_visita,xg_local,xg_visita,npxg_local,npxg_visita,tiros_local,tiros_visita,sot_local,sot_visita,cuota_h,cuota_d,cuota_a
2026-09-06,30807,laliga,Alaves,Osasuna,5,2,1.60188,1.64406,1.60188,0.900784,12,7,7,5,2.25,3.1,3.5
2026-09-06,30808,laliga,Espanol,Sevilla,1,1,1.81745,0.372572,1.81745,0.372572,12,6,3,3,2.3,3.1,3.4
2026-09-06,30806,laliga,Malaga,Levante,0,0,1.72661,1.19172,0.983332,1.19172,10,11,3,3,2.38,3.25,3.0
2026-09-06,30805,laliga,Valencia,Barcelona,0,5,0.518846,4.76916,0.518846,4.76916,3,25,2,10,10.0,5.75,1.29
2026-09-07,30810,laliga,Elche,Sociedad,2,3,2.87045,0.876198,2.87045,0.876198,20,13,10,6,3.1,3.25,2.38
2026-09-07,30809,laliga,Getafe,Celta,1,1,1.45841,1.42122,1.45841,1.42122,10,16,2,3,2.4,2.9,3.4
2026-09-11,30818,laliga,Sevilla,Valencia,1,0,1.35505,0.0798948,1.35505,0.0798948,13,3,4,0,1.95,3.4,4.0
2026-09-12,30812,laliga,Ath Bilbao,Elche,1,1,3.13039,0.816135,3.13039,0.0728571,19,3,3,1,1.4,4.75,7.5
2026-09-12,30820,laliga,Osasuna,Espanol,0,2,1.10365,1.40951,1.10365,1.40951,11,6,4,3,2.15,3.1,3.75
2026-09-12,30815,laliga,Santander,Alaves,2,1,1.38389,2.27148,1.38389,2.27148,11,16,4,8,2.45,3.5,2.75
2026-09-12,30816,laliga,Real Madrid,Vallecano,4,1,3.12156,1.19257,2.37828,1.19257,24,18,11,7,1.13,9.5,19.0
2026-09-13,30811,laliga,Celta,Malaga,1,1,1.48145,0.548065,1.48145,0.548065,17,12,5,2,1.7,3.7,5.25
2026-09-13,30813,laliga,Getafe,La Coruna,1,1,0.994787,0.944884,0.994787,0.944884,15,10,4,3,2.4,2.9,3.4
2026-09-13,30814,laliga,Levante,Barcelona,2,4,2.67442,2.46861,2.67442,1.72534,13,12,7,6,17.0,8.0,1.14
2026-09-13,30817,laliga,Sociedad,Ath Madrid,0,3,0.607518,1.83411,0.607518,1.09122,8,13,3,5,2.8,3.5,2.38
2026-09-14,30819,laliga,Villarreal,Betis,1,2,1.67293,4.07311,1.67293,4.07311,14,26,8,12,1.91,4.0,3.6
2026-09-15,30821,laliga,Alaves,Valencia,0,1,1.30957,0.83949,1.30957,0.83949,15,10,3,3,1.7,3.5,5.5
2026-09-15,30825,laliga,Elche,Real Madrid,2,3,1.05222,3.46121,1.05222,3.46121,11,20,3,4,12.0,7.5,1.2
2026-09-15,30829,laliga,Vallecano,Espanol,2,1,1.8328,1.1573,1.8328,1.1573,16,19,2,5,2.3,3.3,3.1
2026-09-16,30822,laliga,Ath Madrid,Osasuna,4,0,5.14269,0.717926,5.14269,0.717926,27,3,11,1,1.38,4.75,8.5
2026-09-16,30826,laliga,Barcelona,Santander,7,2,7.47528,1.38402,5.24544,1.38402,30,5,9,3,1.06,14.0,23.0
2026-09-16,30824,laliga,La Coruna,Sevilla,0,1,0.192171,0.853244,0.192171,0.853244,4,11,3,6,2.4,3.25,3.0
2026-09-17,30828,laliga,Malaga,Villarreal,1,3,0.361392,4.2474,0.361392,3.50412,5,16,1,7,3.6,3.7,1.95
2026-09-17,30823,laliga,Betis,Getafe,1,0,2.60912,0.327032,2.60912,0.327032,22,8,8,2,1.57,4.0,5.75
2026-09-18,30834,laliga,Espanol,Elche,1,3,1.07744,1.25113,1.07744,1.25113,23,9,4,6,1.8,3.5,4.5
2026-09-19,30830,laliga,Ath Bilbao,Alaves,0,0,1.46153,0.0461634,0.718256,0.0461634,24,2,6,0,1.62,4.0,5.25
2026-09-19,30832,laliga,Celta,Santander,5,0,2.2295,0.719901,1.48622,0.719901,13,11,9,5,1.8,3.8,4.2
2026-09-19,30836,laliga,Osasuna,Vallecano,1,1,0.926414,1.35649,0.926414,1.35649,10,19,3,2,2.38,3.3,3.0
2026-09-19,30837,laliga,Sevilla,Barcelona,1,3,0.758355,3.56261,0.758355,3.56261,7,24,3,7,11.0,7.5,1.2
2026-09-20,30831,laliga,Ath Madrid,Real Madrid,2,1,2.40619,0.420774,1.66291,0.420774,18,8,9,3,3.6,3.8,1.95
2026-09-20,30833,laliga,La Coruna,Betis,1,1,1.93872,1.00253,1.93872,1.00253,24,11,7,4,3.4,3.75,2.05
2026-09-20,30835,laliga,Getafe,Malaga,1,0,1.18796,0.660498,1.18796,0.660498,20,11,7,4,2.0,3.1,4.2
2026-09-20,30838,laliga,Valencia,Sociedad,2,3,1.52762,2.33411,1.52762,1.59083,22,21,5,6,2.7,3.4,2.6
2026-09-20,30839,laliga,Villarreal,Levante,3,1,4.28569,0.941792,4.28569,0.941792,21,6,7,1,1.5,4.75,5.5
